"Checked
Overené","Commands
Príkazy","Mittigation / Best practice configuration
Mitigácia / Konfigurácia typu “Best practice”","Attack / Issue
Útok / Problém","Plane [DATA|CONTROL
|MANAGEMENT]","Protocol
Protokol","Severity
Závažnosť
[CRITICAL|HIGH
|MEDIUM|LOW|NOTIFY]
CCNA SEC STUDY GUIDE","Facility
Zariadenie
[R/L3SW|L2SW]","Facility layer
Zariadenie operujúce na vrstve
[ACC/DIST/CORE]","Source(s)
Zdroj(e)","Prerequisite
Prerekvizita
","Ports
Porty","Comments
Komentáre","MY Comment"
,"router ospf <process>
 log-neighbor-changes","Log routing protocols update changes / Zaznamenie zmeny v logu pri zmenách v smerovaní","Traceability of routing protocol misconfiguration and malfunction / Vysledovateľnosť nefunkčnosti routovacieho protokolu a nesprávneho nastavenia","Control","RIP EIGRP OSPF BGP","MEDIUM","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco SAFE Reference Guide
OSPF Link-State Database Overload Protection https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_ospf/configuration/15-sy/iro-15-sy-book/iro-lk-state-db.pdf",,,,
,"router bgp <as>
 log-neighbor-changes","Log routing protocols update changes / Zaznamenie zmeny v logu pri zmenách v smerovaní","Traceability of routing protocol misconfiguration and malfunction / Vysledovateľnosť nefunkčnosti routovacieho protokolu a nesprávneho nastavenia","Control","RIP EIGRP OSPF BGP","MEDIUM","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco SAFE Reference Guide
OSPF Link-State Database Overload Protection https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/iproute_ospf/configuration/15-sy/iro-15-sy-book/iro-lk-state-db.pdf",,,,
,"neighbor <ip address> ttl-security hops <hop count>

router ospf <id>
 ttl security all-interfaces hops <hop count>

interface tunnel <number>
 ip ospf ttl-security hops <hop count>

","TTL security","Malicious injected routing information, remote attack /  Škodlivé vloženie smerovacích informácií informácií, vzdialený útok","Control","BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","OSPF Security: Attacks and Defenses
https://www.sanog.org/resources/sanog28/SANOG28-Tutorial_OSPF-Security-Attacks-and-Defences-Manjul.pdf
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"router rip
 no auto-summary

router eigrp <as>
 no auto-summary

router bgp <as>
 no auto-summary","Turn off automatic route summarization / Vypnutie automatickej sumarizácie smerovacích protokolov","Incorrect routing due to summarization / Nesprávne smerovanie kvôli sumarizácií","Control","RIP EIGRP OSPF BGP","HIGH","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL",,,,,
,"ip options drop","Drop IPv4 packets with IP Options field / Zahadzovanie IPv4 paketov s rozšírenou hlavičkou (IP Options filtering)","Packets will be process switched which leads to CPU overload or manipulation with routing to bypass security control / Packety budú spracovávané v CPU, ktoré môže byť preťažené a môže byť zmenené smerovanie na obídenie bezpečnostnej kontroly","Control","IPv4","CRITICAL","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"crypto isakmp policy <policy id>
 encryption aes
 authentication pre-shared
 group <group id>
crypto isakmp key <key> address <ip address> 
crypto ipsec transform-set <set name> esp-aes esp-sha-hmac
 crypto map <map name> 10 ipsec-isakmp
  set peer <peer ip>
  set transform <set name> 
  match address <acl name>
ip access-list extended <acl name>
  permit ip <source ip> <wildcard mask> <destination ip> < wildcard mask>
interface <interface name>
 crypto map <map name>

interface tunnel <number>
 ip address <ip address> <mask>
 tunnel source <ip address> <mask>
 tunnel destination <ip address> <mask>","Disable tunnels which are not secured or setup secure tunnels / Vypnúť tunely ktoré nie sú zabezpečené alebo zabezpečiť tunely","Eavesdropping communication through unsecured tunnels / Odpočúvanie komunikácie  cez nezabezpečené tunely","Data","IPv4
IPv6","CRITICAL","R, L3SW","CORE/EDGE
DISTRIBUTION
COLLAPSED COREDIST
COLLAPSED DISTACC
COLLAPSED ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco router configuration handbook",,,,"xca3 lab 7.1 TODO"
,"ip flow-export version 9
ip flow-export destination <ip address> <port>
interface <interface name> <interface id>
 ip flow ingress
 ip flow egress","Network performance monitoring and collecting traffic due to legal reasons  / Monitorovanie výkonnosti siete a zber sieťového prenosu kvôli legislatívnym potrebám","Potential eavesdropping can be setup when traffic monitoring is used, monitoring due to legal reasons / Môže byť zneužité odpočúvanie pokiaľ sa používa monitorovanie prevádzky a monitorovanie prevádzky kvôli legislatívnym potrebám","Control","ALL","NOTICE","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"monitor session <session id> source <interface name> <interface id> 
monitor session <session id> destination <interface name> <interface id>","Network performance monitoring and collecting traffic due to legal reasons  / Monitorovanie výkonnosti siete a zber sieťového prenosu kvôli legislatívnym potrebám","Potential eavesdropping can be setup when traffic monitoring is used, monitoring due to legal reasons / Môže byť zneužité odpočúvanie pokiaľ sa používa monitorovanie prevádzky a monitorovanie prevádzky kvôli legislatívnym potrebám","Control","ALL","NOTICE","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"ip access-list standard <acl name>
 remark BLOCK_ADDRESSES RFC 1918
 deny <ip address> <wildcard mask> log-input

interface <interface name> <interface id>
 ip access-group <acl name> in","ACL to forbid and log private and special IP addresses from RFC 1918, RFC 3330 / Špecifikácia ACL na zakázanie a logovanie privátnych a špeciálnych IP adries z RFC 1918, RFC 3330","IP spoofing","Control","IP","CRITICAL","R, L3SW","CORE/EDGE, COLLAPSED COREDIST, COLLAPSED ALL","Network Security Auditing
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"
ipv6 access-list <acl name>
 remark BLOCK_ADDRESSES RFC 5156
 deny <ipv6 address> <prefix> any log-input

interface <interface name> <interface id>
 ipv6 traffic-filter <acl name> in","ACL to forbid and log IPv6 special addresses from RFC 5156 / Špecifikácia ACL na zakázanie a logovanie špeciálnych IPv6 adries z RFC 5156","IP spoofing","Control","IPv6","CRITICAL","R, L3SW","CORE/EDGE, COLLAPSED COREDIST, COLLAPSED ALL","Network Security Auditing
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"interface <interface name> <interface id>
 spanning-tree rootguard
 spanning-tree guard root","Rogue root bridge protection (root guard)","Rogue root bridge ","Control","STP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,"dodatocny show prikaz, kto je root, na ktore porty a devices"
,"spanning-tree portfast bpduguard default

or

interface <interface name> <interface id>
  spanning-tree bpduguard enable

avoid 

spanning-tree portfast bpdufilter enable

interface <interface name> <interface id>
  spanning-tree bpdufilter enable

","BPDU protection (BPDU guard)","Connecting switch to edge port / Pripojenie pripínaču na koncový prístupový port","Control","STP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,"preq portfast must be enabled"
,"spanning-tree portfast default

or

interface <interface name> <interface id>
 spanning-tree portfast","Access ports should not participate in STP process / Prístupové porty by sa nemali podielať na STP procese","Speed of convergence / Rýchlosť konvergencie","Control","STP","HIGH","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,
,"spanning-tree loopguard default

or 

interface <interface name> <interface id>
 spanning-tree guard loop","Access ports should not participate in STP process / Prístupové porty by sa nemali podielať na STP procese","Speed of convergence / Rýchlosť konvergencie","Control","STP","HIGH","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,
,"vlan <id>
 name <name>","Add name for each VLAN / Pridanie mena k VLAN","Unable to identify purpose of VLAN / Nemožnosť identifikácie účelu VLAN","Control","NONE","LOW","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS",,,,,
,"vlan <id>  
name MANAGEMENT_VLAN","Create management VLAN / Vytvorenie separátnej VLAN pre manažment","Separate VLAN for management to restrict access for administrators / Špeciálna VLAN pre manažment na obmedzenie prístupu iba pre administrátorov","Control","NONE","MEDIUM","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS",,,,,
,"vlan <id>  
name BLACKHOLE_VLAN","Create special black hole VLAN for unused ports/ Vytvorenie špeciálnej black hole VLAN pre nevyužité porty","Attacker with physical acces to port can have access to part of network corresponding to VLAN / Útočníkovi s fyzickým prístupom k portu môže byť pridelený prístup do časti siete, ktorá zodpovedá príslušnej VLAN ","Control","NONE","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco SAFE Reference Guide",,,,
,"interface <interface name> <interface id>
 switchport mode access
 switchport access vlan <id>","Unassign all ports from default VLAN / Odobrať všetky porty z predvolenej VLAN","Default VLAN is allowed to be switches to every port, VLAN hopping, double tagging / Predvolenej VLAN je povolené prepnute na akýkoľvek port, VLAN hopping, double tagging","Control","NONE","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco SAFE Reference Guide",,,,
,"vlan <id>  
name NATIVE_VLAN

interface <interface name> <interface id>
 switchport mode trunk
 switchport trunk native vlan <id>
 switchport trunk allowed vlan <id>","Create native VLAN other than default, assign it to trunk and allow only necessary VLANs / Vytvorenie natívnej VLAN rozdielnej ako predvolená, priradeni k trunk portu a povolenie iba potrebných portov","Default VLAN is allowed to be switches to every port, VLAN hopping, double tagging / Predvolenej VLAN je povolené byť prepnutá na akýkoľvek port, VLAN hopping, double tagging","Control","NONE","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco SAFE Reference Guide",,,,
,"
interface <interface name> <interface id>
 switchport mode trunk
 no switchport mode dynamic desirable
 no switchport mode dynamic auto
 switchport nonegotiate
","Turn of dynamic trunking protocol and explicitly set access and trunk ports / Vypnutie dynamického trunkovacieho protokolu a explicitne určiť porty ako prístupové a trunk","DTP attack, Switch spoofing attack / DTP útok, Switch spoofing útok","Control","DTP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco SAFE Reference Guide",,,,
,"
interface <interface name> <interface id>
 switchport port-security maximum 1
 switchport port-security mac-address sticky
 or
 switchport port-security mac-address static <mac address>
 switchport port-security","Define maximum 1 MAC address to port, assign MAC address to port / Definovanie maximálne 1 MAC adresy na port, priradenie MAC adresy na port","MAC Spoofing, MAC Flooding ","Control","LLC","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS",,,,,
,"interface <interface name> <interface id>
 switchport port-security violation mode shutdown
 switchport port-security violation mode restrict
 no switchport port-security violation mode protect","Setup violation mode that shut down the port or inform administrator when not allowed device is connected / Nastavenie režimu narušenia, ktorý vypne port alebo informuje správcu o pripojení nepovoleného zariadenia","MAC Spoofing, MAC Flooding ","Control","LLC","HIGH","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS",,,,,
,"vtp mode transparent

or

vtp off","Disable MVRP. MRP, GARP, VTP after successful VLAN propagation / Vypnutie MVRP. MRP, GARP, VTP po úspešnej propagácií VLAN","New switch with higher revision number but improper VLAN database can propagate false VLAN IDs and break network, many VTP attacks due to vulnerabilities / Nový prepínač s vyšším číslom revízie, ale s nesprávnou VLAN databázou môže šíriť falošné VLAN identifikátory a spôsobiť nefunkčnosť siete, veľa možnćh VTP útokov kvǒli zraniteľnostiam ","Control","VTP
MVRP
MRP
GARP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,
,"vtp version 3
vtp password <password> hidden
vtp prunning","Use VTP v3 with set password and enable VTP prunning when VTP must be enabled/ Uprednostniť VTP verzie 3, špecifikovať skryté heslo a zapnúť VTP prunning pokiaľ musí byť VTP zapnuté","VTP must be used / VTP musí byť používané","Control","VTP
MVRP
MRP
GARP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security",,,,
,"storm-control unicast level <top level> <down level>
storm-control broadcast level <top level> <down level>
storm-control multicast level <top level> <down level>
storm-control action trap","Send notification message when link reaches load threshold / Poslanie notifikácie pri prekročení prahovej hodnoty zaťaženia linky","High load of link / Vysoké zaťaženie linky","Control","NONE","MEDIUM","ALL","ALL","Cisco SAFE Reference Guide",,,,"see commands.odt
can be pps or link load in percentage"
,"dot1x system-auth-control
identity profile default
interface <interface name> <interface id>
  dot1x port-control auto
  
  or

  access-session port-control auto

  or

  authentication port-control auto
  dot1x pae authenticator|supplicant 

  no dot1x port-control force-authorized

  or
  
  no access-session port-control force-authorized

  or

  no authentication port-control force-authorized
","Enable 802.1x  / Zapnutie 802.1x ","Unauthorized users use network / Využívanie siete nepovolenými používateľmi","Control","EAP
PEAP
EAPOL","HIGH","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security
Cisco IOS 11 - IEEE 802.1x, autentizace k portu, MS IAS
https://www.samuraj-cz.com/clanek/cisco-ios-11-ieee-802-1x-autentizace-k-portu-ms-ias/Cisco IOS 12 - IEEE 802.1x a pokročilejší funkce  https://www.samuraj-cz.com/clanek/cisco-ios-12-ieee-802-1x-a-pokrocilejsi-funkce/","Enabled AAA and defined Radius server / Zapnuté AAA a definovaný Radius server",,,
,"dot1x auth-fail max-attempts <number>","Limit maximal failed 802.1x authentication attempts / Limitovanie maximálneho počtu neúspešných pokusov o autentizáciu 802.1x","Brute force guessing credentials for 802.1x / Útok hrubou silou hádaním prístupových údajov pre 802.1x ","Control","EAP
PEAP
EAPOL","HIGH","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco IOS 11 - IEEE 802.1x, autentizace k portu, MS IAS
https://www.samuraj-cz.com/clanek/cisco-ios-11-ieee-802-1x-autentizace-k-portu-ms-ias/Cisco IOS 12 - IEEE 802.1x a pokročilejší funkce  https://www.samuraj-cz.com/clanek/cisco-ios-12-ieee-802-1x-a-pokrocilejsi-funkce/",,,,
,"ipv6 nd inspection policy <policy name>
 drop unsecure
 device-role monitor
 tracking disable stale-lifetime infinite
 trusted-port
interface <interface name> <interface id>
 ipv6 nd inspection attach-policy  <policy name>","IPv6 ND Inspection","IPv6 ND Spoofing","Control","IPv6
NDP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","
Bezpečné IPv6: zkrocení zlých směrovačů
https://www.root.cz/clanky/bezpecne-ipv6-zkroceni-zlych-smerovacu/
Bezpečné IPv6 : směrovač se hlásí
https://www.root.cz/clanky/bezpecne-ipv6-smerovac-se-hlasi/
IPv6 First-Hop Security Configuration Guide","IPv6 support
IPv6 enabled",,,"ND Snooping/ND Inspection – Partially
SEND – FULL
DHCPv6 Snooping

neviem preco vsade je device-role monitor, mozno router a host sa vvztahuje k RA guard, kde dava zmysel
neviem co znamena trusted port v tomto ponimani, napisat CISCO. asi spravit dve politiky jedna trusted/port ddruah uuntrusted
glean si nie som clekom isty, suvbis s DHCPv6

 ipv6 nd inspection attach-policy  <policy name> for all vlans

ND SNOOPING – TOFU
Nasazení tohoto obranného mechanismu paradoxně otevírá vrátka pro útočníky, kteří pak mohou ostatním uživatelům zablokovat přístup do sítě tím, že si počkají až se jejich zařízení odpojí a pak si jeho adresu “zaregistrují” na svůj port. Pokud se zařízení s původní adresou opět připojí do sítě, nebude mu to umožněno, jelikož jeho adresu má již útočník v databázi IP - MAC zaregistrovanou pro jiný port. Díky tomu, že pakety budou zahozeny, neproběhne ani kontrola duplicity adresy. Zařízení si tedy ani nemůže vygenerovat novou adresu, jelikož neví, že danou adresu již v síti někdo používá. V principu se tomu nedá zabránit, protože se využívají zcela legitimních vlastností protokolu IPv6: a) rozhraní může mít více IPv6 adres; b) IPv6 adresu lze generovat nahodile; c) přepínač nemá při bezstavové konfiguraci žádnou autoritativní odpověď, jako měl u IPv4 při použití DHCP. Přepínač tudíž nemůže rozlišit, kdo má pravdu a kdo ne."
,"ipv6 nd raguard policy <polic name>
 device-role host|router
 hop-limit maximu <number>
 managed-config-flag on|off
 other-config-flag on|off
 match ipv6 access-list <acl name>
 match ra prefix-list <prefix list name>
 trusted-port
interface <interface name> <interface id>
 ipv6 nd raguard attach-policy <policy name>","RA Guard","Rogue RA
RA Flood
Route Information Option injection
RA RouterLifeTime=0
","Control","IPv6
NDP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","
Bezpečné IPv6: zkrocení zlých směrovačů
https://www.root.cz/clanky/bezpecne-ipv6-zkroceni-zlych-smerovacu/
Bezpečné IPv6 : směrovač se hlásí
https://www.root.cz/clanky/bezpecne-ipv6-smerovac-se-hlasi/
IPv6 First-Hop Security Configuration Guide",,,,"RA FLOOD – There can be legitimate RA in filtered advert messages 
Route Information Option – More routes can be inject by one RA messages
RA RouterLifeTime=0 – Route can bedeleted by RA message where route life time is zero, no default gateway is present


ak ostatne nedam trusted-port su implicitne untrusted?"
,"ip dhcp snooping
ip dhcp snooping vlan <vlan-id> 
interface <interface name> <interface id>
 ip dhcp snooping trust
 no ip dhcp snooping trust","DHCP snooping, IPv6 Snooping, DHCPv6 Guard","DHCP spoofing","Control","DHCP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
IPv6 First-Hop Security Configuration Guide",,,,"in case dhcp relay see https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/snoodhcp.html"
,"ipv6 snooping policy <policy name>
  ipv6 snooping attach-policy <policy name>
  prefix-glean","DHCP snooping, IPv6 Snooping, DHCPv6 Guard","DHCP spoofing","Control","DHCP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
IPv6 First-Hop Security Configuration Guide",,,,
,"ipv6 access-list <acl name>
 permit host <ipv6 address> any
ipv6 prefix-list <prefix list name> permit <ipv6 address>  le 128
ipv6 dhcp guard policy <policy name>
 device-role server|client
 match server access-list <acl name>
 match reply prefix-list <prefix list name>
 trusted-port
interface <interface name> <interface id>
 ipv6 dhcp guard attach-policy <policy name>","DHCP snooping, IPv6 Snooping, DHCPv6 Guard","DHCP spoofing","Control","DHCP","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Lan Switch Security
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
IPv6 First-Hop Security Configuration Guide","IPv6 Snooping",,,"trusted-port je tuna trusted
https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipv6_fhsec/configuration/xe-3s/ip6f-xe-3s-book/ip6-src-guard.html
nie moc dobra podpora na lacnych SW
https://insinuator.net/2014/01/configuring-ipv6-snooping-and-dhcpv6-guard-on-cisco-ios/"
,"ip dhcp snooping limit rate 100 ","Limit DHCP packet  on untrusted interfaces / Odmedziť počet DHCP paketov na nedôverihodných rozhraniach","Too many DHCP packets, DHCP Flood / Příliš veľa DHCP paketov, zaplavenie DHCP paketmi","Control","DHCP","MEDIUM","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Configuring DHCP Snooping
https://www.cisco.com/en/US/docs/general/Test/dwerblo/broken_guide/snoodhcp.html","DHCP Snooping",,,
,"ip arp inspection vlan <vlan id> 
ip arp inspection validate src-mac dst-mac ip

on uplink

ip arp inspection trust


","Dynamic ARP Inspection","ARP Spoofing","Control","LLC","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","CCNA SECURITY STUDY GUIDE","DHCP Snooping",,,
,"ip verify source port-security
ip verify source
ip verify source vlan dhcp-snooping
ip verify source vlan dhcp-snooping port-security

ipv6 source-guard policy <policy name>
 permit link-local
 deny global-autoconf
 trusted
interface <interface name> <interface id>
 ipv6 source-guard attach-policy <policy name>","IPv4/IPv6 Source Guard","IP spoofing","Control","IPv4
IPv6","CRITICAL","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
IPv6 First-Hop Security Configuration Guide","DHCP Snooping
DHCPv6 Snooping
IPv6 Snooping",,,"https://community.cisco.com/t5/switching/ip-arp-inspection-vs-ip-verify-source/td-p/1864717
https://networklessons.com/cisco/ccie-routing-switching-written/ipv6-source-guard, https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/ipv6_fhsec/configuration/xe-3s/ip6f-xe-3s-book/ip6-src-guard.html, "
,"ipv6 access-list <acl name>
 remark deny undetermined next headers
 deny any any undetermined-transport log-input","ACL to block unrecognizable extended headers / ACL blokujúce nerozpoznateľne rozšírené hlavičky","IPv6 Next Header and IPv6 Fragmentation attack / IPv6 Next Header  a IPv6 Fragmentation útok","Control","IPv6","CRITICAL","ALL","ALL","Bezpečné IPv6: trable s hlavičkami
https://www.root.cz/clanky/bezpecne-ipv6-trable-s-hlavickami/Bezpečné IPv6: vícehlavý útočník https://www.root.cz/clanky/bezpecne-ipv6-vicehlavy-utocnik/RFC7113",,,,"Otazka ci na vsetkych zariadeniach
ACL – Partially (legitime traffic can be dropped, L2 can ignore ACL)
ACL – deny undetermined transport, unrecognised headers will be dropped
RA disable next header and fragmentation


avoid filtering  mechanisms because packet is too big to be stored in TCAM, some devices forward it (could void filtering rules), some drop it (new heaaders cannot be processed), OSes drop packets with RA which contains next header, when packet is not recognised by ASIC it is forwarded to CPU which is slow so congestion DDOS can be issued or totally trick filtering and send packet which would be filtered. A lot of ISPs or stransit ASes drops IPv6 packets with Next Header 
combines with previous nextheader, so that protocol of high level is in last fragment, all previous fragments are forwarded, most of ASCII (on Switches) cannot reassamble fragments, RFC 6980 does not allow to use fragmentation in RA,NA. Next header must be in forst fragment (RFC 7112)"
,"ip access-list extended <acl name>
 remark deny all node ipv4 address
 deny icmp any host 224.0.0.1 echo log-input

ipv6 access-list <acl name>
 remark deny all node ipv6 address
 deny icmp any host ff02::1 echo-request log-input
 remark deny mld query
 deny icmp any any mld-query","ACL to block ICMP echo request on multicast all node address and MLD Query on access ports/  ACL blokujúce ICMP echo request na multicast adresu všetkých uzlov a MLD Query na prístupových portoch","Network map by ping  multicast all node address and MLD Query Overload and Smurf attack / Mapovanie sete pomocou pingu na multicast adresu všetkých uzlov a MLD Query Overload a Smurf útok","Control","IPv4
IPv6","MEDIUM","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Bezpečné IPv6: trable s multicastem
https://www.root.cz/clanky/bezpecne-ipv6-trable-s-multicastem/MLD Considered Harmful
https://ripe72.ripe.net/presentations/74-ERNW_RIPE72_MLD_Considered_Harmful_v1_light_web.pdf
",,,,
,"ipv6 nd ra-throttle policy <policy name>
 allow at-least <value> at-most <value>
 interval-option inherit
 max-through <value>
 media-type wired|access-point|wire|wifi
 throttle-period <value>
vlan configuration <vlan id>
 ipv6 nd ra-throttle attach-policy <policy name>

or 

interface <interface name> <interface id>
 ipv6 nd ra-throttle policy <policy name>","RA Throttling","Mobile devices connected through wireless consumes a lot of energy by frequent RA messages / Mobilné zariadenia pripojené bezdôtovo spotrebovávajú veľa energie kvôli častým RA správam","Control","IPv6","LOW","L3SW, L2SW","DISTRIBUTION, COLLAPSED DISTACC, ACCESS","Bezpečné IPv6: trable s multicastem
https://www.root.cz/clanky/bezpecne-ipv6-trable-s-multicastem/
ND on wireless links and/or with sleeping nodes   
https://www.ipv6council.be/IMG/pdf/20141212-08_vyncke_-_ipv6_multicast_issues-pptx.pdf",,,,
,"key chain <key chain>
 key <id>
  key-string <key string>
track <value> interface <interface name> <interface id> line-protocol
fhrp version vrrp 3
interface <interface name> <interface id>
 vrrp <group id> ip <ip  address>
 vrrp priority <value>
 vrrp <group id> track <value> decrement <value>
 vrrp <group id> authentication md5 key-string <key>

 or

 <group id> authentication md5 key-chain <key chain>","Enable FHRP with authentication and current version/ Povolenie FHRP s autentizáciou a aktuálnou verziou","Failing device or link would lead to network malfunction / Zlyhanie zariadenia alebo linky môže viest k nefunkčnosti siete ","Control","VRRP
HSRP
GLBP","MEDIUM","R, L3SW","CORE/EDGE, COLLAPSED COREDIST, COLLAPSED ALL","Bezpečné IPv6: když dojde keš
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes/
Bezpečné IPv6: když dojde keš – obrana
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes-obrana/
",,,,
,"key chain <key chain>
 key <id>
  key-string <key string>
interface <interface name> <interface id>
 standby <group id> ip <ip address>
 standby <group id> priority <value>
 standby <group id> preempt
 standby version 2
 standby <group id> authentication md5 key-string <key>
 
 or
 
 standby <group id> authentication md5 key-chain <key chain>

track <id>  interface <interface name> <interface id>
interface <interface name> <interface id>
  standby <group id> track <id> decrement <value>
 ","Enable FHRP with authentication and current version/ Povolenie FHRP s autentizáciou a aktuálnou verziou","Failing device or link would lead to network malfunction / Zlyhanie zariadenia alebo linky môže viest k nefunkčnosti siete ","Control","VRRP
HSRP
GLBP","MEDIUM","R, L3SW","CORE/EDGE, COLLAPSED COREDIST, COLLAPSED ALL","Bezpečné IPv6: když dojde keš
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes/
Bezpečné IPv6: když dojde keš – obrana
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes-obrana/
",,,,
,"key chain <key chain>
 key <id>
  key-string <key string>
track <value> interface <interface name> <interface id> line-protocol
interface <interface name> <interface id>
 glbp <group id> ip <ip  address>
 glbp <group id> priority <value>
 glbp <group id> preempt
 glbp <group id> weighting <value> lower <value> upper <value> 
 glbp <group id> weighting track <value> decrement <value>
 glbp <group id> authentication md5 key-string <key>

 or

 glbp <group id> authentication md5 key-chain <key chain>","Enable FHRP with authentication and current version/ Povolenie FHRP s autentizáciou a aktuálnou verziou","Failing device or link would lead to network malfunction / Zlyhanie zariadenia alebo linky môže viest k nefunkčnosti siete ","Control","VRRP
HSRP
GLBP","MEDIUM","R, L3SW","CORE/EDGE, COLLAPSED COREDIST, COLLAPSED ALL","Bezpečné IPv6: když dojde keš
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes/
Bezpečné IPv6: když dojde keš – obrana
https://www.root.cz/clanky/bezpecne-ipv6-kdyz-dojde-kes-obrana/
",,,,
